goal,shot_statsbomb_xg,minute,second,possession,play_pattern,possession_team,team,player,shot_body_part,shot_technique,shot_type,under_pressure,off_camera,shot_outcome,x,y,competition
0,0.07108702,71,51,131,5,0,0,8,1,1,1,,,4,108.1,26.5,Indian Super league 2021/2022
0,0.053389467,72,32,132,0,0,0,3,0,1,1,True,,2,111.2,35.4,Indian Super league 2021/2022
0,0.14387792,74,38,136,4,0,0,6,2,0,1,,,2,107.6,37.6,Indian Super league 2021/2022
0,0.032235228,77,8,140,2,1,1,9,1,1,1,,,0,106.4,23.2,Indian Super league 2021/2022
0,0.053989135,77,11,140,2,1,1,9,1,1,1,,,0,107.7,26.6,Indian Super league 2021/2022
0,0.050134677,90,25,166,0,0,0,12,0,1,1,True,,4,113.1,33.5,Indian Super league 2021/2022
0,0.016115217,91,11,168,0,0,0,10,2,2,1,,,0,94.9,49.7,Indian Super league 2021/2022
0,0.08464161,91,35,169,0,0,0,3,0,1,1,True,,2,112.8,43.2,Indian Super league 2021/2022
0,0.363819,94,8,174,5,0,0,7,2,2,1,,,3,114.1,37.1,Indian Super league 2021/2022
0,0.17319176,9,27,22,1,0,0,1,3,1,1,,,2,112.5,49.6,Indian Super league 2021/2022
0,0.10325141,16,27,37,1,0,0,6,2,3,1,,,3,113.3,47.9,Indian Super league 2021/2022
0,0.14446138,19,47,46,3,1,0,1,3,3,1,,,2,107.0,50.2,Indian Super league 2021/2022
0,0.08763512,33,56,64,1,0,0,5,3,3,1,,,2,113.5,52.5,Indian Super league 2021/2022
1,0.23170227,37,29,71,2,1,1,8,3,2,1,,,1,100.5,36.2,Indian Super league 2021/2022
0,0.16322112,57,37,121,2,1,1,3,0,0,1,,,3,108.2,38.2,Indian Super league 2021/2022
0,0.0064820144,58,56,125,1,1,1,0,3,3,0,,,4,100.3,7.9,Indian Super league 2021/2022
0,0.07706613,68,50,147,3,1,1,9,1,3,1,,,0,101.5,31.5,Indian Super league 2021/2022
0,0.06741423,69,38,148,0,1,1,4,0,3,1,True,,0,114.4,33.7,Indian Super league 2021/2022
0,0.00928039,72,39,153,1,1,1,0,3,3,1,,,3,103.0,18.8,Indian Super league 2021/2022
0,0.0271078,78,33,164,3,0,0,7,1,3,1,True,,2,100.3,55.4,Indian Super league 2021/2022
0,0.044597484,87,11,187,1,0,0,2,3,1,1,,,2,110.9,52.9,Indian Super league 2021/2022
0,0.06947374,6,54,15,1,0,0,9,2,1,0,,,0,97.6,49.9,Indian Super league 2021/2022
0,0.017825356,6,56,15,1,0,0,1,1,0,1,,,3,98.1,54.4,Indian Super league 2021/2022
0,0.056218583,13,26,26,3,0,0,13,1,1,1,,,2,95.3,30.8,Indian Super league 2021/2022
0,0.118338615,16,3,31,3,0,0,5,2,1,1,,,0,107.3,34.4,Indian Super league 2021/2022
0,0.019594125,16,36,32,0,0,0,1,1,2,1,,,0,95.4,32.9,Indian Super league 2021/2022
0,0.0797664,18,18,34,2,1,1,2,0,1,1,,,3,108.5,41.3,Indian Super league 2021/2022
0,0.019718505,20,22,36,1,0,0,8,2,1,1,,,0,90.2,42.1,Indian Super league 2021/2022
0,0.048323724,22,1,38,4,1,1,4,1,1,1,,,0,101.0,48.5,Indian Super league 2021/2022
0,0.054498114,35,20,66,3,1,1,12,2,1,1,,,0,98.1,34.5,Indian Super league 2021/2022
0,0.037163828,36,6,67,4,0,0,9,2,1,1,,,2,99.8,27.0,Indian Super league 2021/2022
0,0.028067276,47,31,90,3,0,0,7,1,1,1,,,2,95.3,27.6,Indian Super league 2021/2022
0,0.06176329,46,58,95,1,1,1,4,1,1,0,,,3,94.1,35.3,Indian Super league 2021/2022
0,0.034263354,55,54,110,3,1,1,4,2,1,1,True,,0,99.6,35.7,Indian Super league 2021/2022
1,0.1310289,55,56,110,3,1,1,12,2,1,1,,,1,103.1,40.3,Indian Super league 2021/2022
0,0.06374749,65,38,127,3,0,0,3,1,1,1,,,3,101.1,41.5,Indian Super league 2021/2022
0,0.02613109,71,42,144,3,0,0,5,2,0,1,,,2,93.2,38.8,Indian Super league 2021/2022
0,0.022133218,80,27,158,1,0,0,0,2,1,1,,,2,95.1,27.1,Indian Super league 2021/2022
0,0.06465637,82,20,161,1,1,1,11,0,1,1,True,,2,112.1,32.1,Indian Super league 2021/2022
0,0.014178629,84,2,165,1,0,0,9,2,1,0,,,4,98.4,21.9,Indian Super league 2021/2022
0,0.02024723,88,32,173,4,0,0,10,0,1,1,True,,5,109.0,51.4,Indian Super league 2021/2022
0,0.013516086,89,26,175,4,0,0,9,2,1,1,,,2,85.5,45.6,Indian Super league 2021/2022
0,0.090903535,90,10,176,2,1,1,6,2,1,1,,,0,106.2,51.5,Indian Super league 2021/2022
0,0.037368562,92,23,181,2,0,0,9,2,1,1,,,0,97.3,33.6,Indian Super league 2021/2022
0,0.03721852,93,43,185,3,0,0,3,2,1,1,,,2,94.8,45.8,Indian Super league 2021/2022
0,0.18320926,94,46,188,3,0,0,5,1,2,1,True,,2,111.1,33.7,Indian Super league 2021/2022
0,0.08155384,96,52,191,4,0,0,3,0,1,1,True,,2,108.5,37.8,Indian Super league 2021/2022
0,0.073064625,1,6,3,4,1,1,11,2,1,1,,,4,97.8,29.1,Indian Super league 2021/2022
0,0.008100907,13,1,30,2,1,1,0,1,1,0,,,4,101.5,64.1,Indian Super league 2021/2022
0,0.2212649,21,20,55,1,1,1,0,1,1,1,,,4,100.0,31.7,Indian Super league 2021/2022
0,0.036192287,22,12,56,0,1,1,3,1,1,1,True,,0,96.7,35.9,Indian Super league 2021/2022
